district,year,month,rainfall,season
Bhadradri-Kothagudem,2019.0,7.0,5766.6,Kharif
Bhadradri-Kothagudem,2019.0,8.0,9312.3,Kharif
Bhadradri-Kothagudem,2019.0,9.0,3216.9,Kharif
Hyderabad,2019.0,7.0,1462.0,Kharif
Hyderabad,2019.0,8.0,2593.7,Kharif
Hyderabad,2019.0,9.0,825.5,Kharif
Jagtial,2019.0,7.0,4691.2,Kharif
Jagtial,2019.0,8.0,5550.6,Kharif
Jagtial,2019.0,9.0,1281.8,Kharif
Jangaon,2019.0,7.0,2065.5,Kharif
Jangaon,2019.0,8.0,2700.7,Kharif
Jangaon,2019.0,9.0,867.8,Kharif
Jayashankar-Bhupalpally,2019.0,7.0,3745.0,Kharif
Jayashankar-Bhupalpally,2019.0,8.0,4527.4,Kharif
Jayashankar-Bhupalpally,2019.0,9.0,1301.0,Kharif
Jogulamba-Gadwal,2019.0,7.0,1057.4,Kharif
Jogulamba-Gadwal,2019.0,8.0,951.4,Kharif
Jogulamba-Gadwal,2019.0,9.0,985.6,Kharif
Kamareddy,2019.0,7.0,5807.8,Kharif
Kamareddy,2019.0,8.0,5619.5,Kharif
Kamareddy,2019.0,9.0,3582.6,Kharif
Karimnagar,2019.0,7.0,4764.9,Kharif
Karimnagar,2019.0,8.0,3890.3,Kharif
Karimnagar,2019.0,9.0,863.3,Kharif
Khammam,2019.0,7.0,3994.7,Kharif
Khammam,2019.0,8.0,5330.1,Kharif
Khammam,2019.0,9.0,2183.3,Kharif
Komaram Bheem-Asifabad,2019.0,9.0,585.7,Kharif
Kumuram Bheem - Asifabad,2019.0,7.0,6489.5,Kharif
Kumuram Bheem - Asifabad,2019.0,8.0,6173.2,Kharif
Kumuram Bheem - Asifabad,2019.0,9.0,1347.1,Kharif
Mahabubabad,2019.0,7.0,3055.4,Kharif
Mahabubabad,2019.0,8.0,4220.8,Kharif
Mahabubabad,2019.0,9.0,2357.8,Kharif
Mahabubnagar,2019.0,7.0,2039.3,Kharif
Mahabubnagar,2019.0,8.0,2045.7,Kharif
Mahabubnagar,2019.0,9.0,1131.6,Kharif
Mancherial,2019.0,7.0,4904.9,Kharif
Mancherial,2019.0,8.0,6807.3,Kharif
Mancherial,2019.0,9.0,1686.9,Kharif
Medak,2019.0,7.0,3770.4,Kharif
Medak,2019.0,8.0,4595.6,Kharif
Medak,2019.0,9.0,2819.7,Kharif
Medchal-Malkajgiri,2019.0,7.0,1821.0,Kharif
Medchal-Malkajgiri,2019.0,8.0,2293.5,Kharif
Medchal-Malkajgiri,2019.0,9.0,1017.0,Kharif
Mulug,2019.0,7.0,4144.1,Kharif
Mulug,2019.0,8.0,5279.2,Kharif
Mulug,2019.0,9.0,1143.2,Kharif
Nagarkurnool,2019.0,7.0,2478.0,Kharif
Nagarkurnool,2019.0,8.0,1956.2,Kharif
Nagarkurnool,2019.0,9.0,1223.4,Kharif
Nalgonda,2019.0,7.0,2980.5,Kharif
Nalgonda,2019.0,8.0,4424.7,Kharif
Nalgonda,2019.0,9.0,1439.3,Kharif
Narayanpet,2019.0,7.0,1863.5,Kharif
Narayanpet,2019.0,8.0,1286.3,Kharif
Narayanpet,2019.0,9.0,714.1,Kharif
Nirmal,2019.0,7.0,5350.1,Kharif
Nirmal,2019.0,8.0,4622.8,Kharif
Nirmal,2019.0,9.0,1626.6,Kharif
Nizamabad,2019.0,7.0,8876.6,Kharif
Nizamabad,2019.0,8.0,9623.8,Kharif
Nizamabad,2019.0,9.0,4520.2,Kharif
Peddapalli,2019.0,7.0,3858.5,Kharif
Peddapalli,2019.0,8.0,4459.2,Kharif
Peddapalli,2019.0,9.0,1023.9,Kharif
Rajanna-Siricilla,2019.0,7.0,3872.7,Kharif
Rajanna-Siricilla,2019.0,8.0,3170.5,Kharif
Rajanna-Siricilla,2019.0,9.0,1228.2,Kharif
Rangareddy,2019.0,7.0,2596.7,Kharif
Rangareddy,2019.0,8.0,3891.8,Kharif
Rangareddy,2019.0,9.0,1323.7,Kharif
Sangareddy,2019.0,7.0,2931.4,Kharif
Sangareddy,2019.0,8.0,5710.6,Kharif
Sangareddy,2019.0,9.0,2651.6,Kharif
Siddipet,2019.0,7.0,4705.5,Kharif
Siddipet,2019.0,8.0,4349.7,Kharif
Siddipet,2019.0,9.0,1435.8,Kharif
Suryapet,2019.0,7.0,3303.0,Kharif
Suryapet,2019.0,8.0,3789.5,Kharif
Suryapet,2019.0,9.0,1732.6,Kharif
Vikarabad,2019.0,7.0,1734.0,Kharif
Vikarabad,2019.0,8.0,3769.5,Kharif
Vikarabad,2019.0,9.0,1674.9,Kharif
Wanaparthy,2019.0,7.0,2042.4,Kharif
Wanaparthy,2019.0,8.0,1751.0,Kharif
Wanaparthy,2019.0,9.0,1197.9,Kharif
Warangal (R),2019.0,7.0,3888.9,Kharif
Warangal (R),2019.0,8.0,5018.4,Kharif
Warangal (R),2019.0,9.0,2066.3,Kharif
Warangal (U),2019.0,7.0,2944.4,Kharif
Warangal (U),2019.0,8.0,3227.4,Kharif
Warangal (U),2019.0,9.0,1284.8,Kharif
Warangal Rural,2019.0,9.0,358.6,Kharif
Warangal Urban,2019.0,9.0,188.7,Kharif
Yadadri-Bhongir,2019.0,7.0,2096.2,Kharif
Yadadri-Bhongir,2019.0,8.0,2137.1,Kharif
Yadadri-Bhongir,2019.0,9.0,658.6,Kharif
Adilabad,2021.0,1.0,5.6,Rabi
Adilabad,2021.0,2.0,41.7,Rabi
Adilabad,2021.0,3.0,9.5,Zaid
Bhadradri Kothagudem,2021.0,1.0,0.0,Rabi
Bhadradri Kothagudem,2021.0,2.0,0.0,Rabi
Bhadradri Kothagudem,2021.0,3.0,0.0,Zaid
Hyderabad,2021.0,1.0,33.9,Rabi
Hyderabad,2021.0,2.0,183.8,Rabi
Hyderabad,2021.0,3.0,0.0,Zaid
Jagtial,2021.0,1.0,21.3,Rabi
Jagtial,2021.0,2.0,4.5,Rabi
Jagtial,2021.0,3.0,0.0,Zaid
Jangaon,2021.0,1.0,1.2,Rabi
Jangaon,2021.0,2.0,1.9,Rabi
Jangaon,2021.0,3.0,0.0,Zaid
Jayashankar,2021.0,1.0,0.0,Rabi
Jayashankar,2021.0,2.0,38.9,Rabi
Jayashankar,2021.0,3.0,0.0,Zaid
Jogulamba Gadwal,2021.0,1.0,67.0,Rabi
Jogulamba Gadwal,2021.0,2.0,15.3,Rabi
Jogulamba Gadwal,2021.0,3.0,0.0,Zaid
Kamareddy,2021.0,1.0,161.8,Rabi
Kamareddy,2021.0,2.0,6.8,Rabi
Kamareddy,2021.0,3.0,13.8,Zaid
Karimnagar,2021.0,1.0,41.9,Rabi
Karimnagar,2021.0,2.0,17.8,Rabi
Karimnagar,2021.0,3.0,0.0,Zaid
Khammam,2021.0,1.0,0.7,Rabi
Khammam,2021.0,2.0,0.0,Rabi
Khammam,2021.0,3.0,0.0,Zaid
Kumuram Bheem,2021.0,1.0,0.3,Rabi
Kumuram Bheem,2021.0,2.0,58.300000000000004,Rabi
Kumuram Bheem,2021.0,3.0,0.0,Zaid
Mahabubabad,2021.0,1.0,0.0,Rabi
Mahabubabad,2021.0,2.0,15.9,Rabi
Mahabubabad,2021.0,3.0,0.0,Zaid
Mahabubnagar,2021.0,1.0,17.8,Rabi
Mahabubnagar,2021.0,2.0,0.0,Rabi
Mahabubnagar,2021.0,3.0,0.0,Zaid
Mancherial,2021.0,1.0,35.2,Rabi
Mancherial,2021.0,2.0,23.9,Rabi
Mancherial,2021.0,3.0,0.0,Zaid
Medak,2021.0,1.0,29.5,Rabi
Medak,2021.0,2.0,6.9,Rabi
Medak,2021.0,3.0,25.0,Zaid
Medchal-Malkajgiri,2021.0,1.0,8.8,Rabi
Medchal-Malkajgiri,2021.0,2.0,80.6,Rabi
Medchal-Malkajgiri,2021.0,3.0,0.0,Zaid
Mulugu,2021.0,1.0,0.0,Rabi
Mulugu,2021.0,2.0,90.5,Rabi
Mulugu,2021.0,3.0,0.4,Zaid
Nagarkurnool,2021.0,1.0,31.4,Rabi
Nagarkurnool,2021.0,2.0,24.0,Rabi
Nagarkurnool,2021.0,3.0,0.0,Zaid
Nalgonda,2021.0,1.0,18.4,Rabi
Nalgonda,2021.0,2.0,8.5,Rabi
Nalgonda,2021.0,3.0,0.0,Zaid
Narayanpet,2021.0,1.0,75.0,Rabi
Narayanpet,2021.0,2.0,3.2,Rabi
Narayanpet,2021.0,3.0,7.1,Zaid
Nirmal,2021.0,1.0,0.0,Rabi
Nirmal,2021.0,2.0,161.70000000000002,Rabi
Nirmal,2021.0,3.0,0.0,Zaid
Nizamabad,2021.0,1.0,20.3,Rabi
Nizamabad,2021.0,2.0,106.5,Rabi
Nizamabad,2021.0,3.0,0.0,Zaid
Peddapalli,2021.0,1.0,35.7,Rabi
Peddapalli,2021.0,2.0,0.0,Rabi
Peddapalli,2021.0,3.0,0.0,Zaid
Rajanna Sircilla,2021.0,1.0,111.6,Rabi
Rajanna Sircilla,2021.0,2.0,0.7,Rabi
Rajanna Sircilla,2021.0,3.0,0.0,Zaid
Rangareddy,2021.0,1.0,94.9,Rabi
Rangareddy,2021.0,2.0,35.0,Rabi
Rangareddy,2021.0,3.0,0.0,Zaid
Sangareddy,2021.0,1.0,192.5,Rabi
Sangareddy,2021.0,2.0,11.100000000000001,Rabi
Sangareddy,2021.0,3.0,30.900000000000002,Zaid
Siddipet,2021.0,1.0,66.10000000000001,Rabi
Siddipet,2021.0,2.0,12.1,Rabi
Siddipet,2021.0,3.0,0.0,Zaid
Suryapet,2021.0,1.0,0.0,Rabi
Suryapet,2021.0,2.0,1.0,Rabi
Suryapet,2021.0,3.0,0.0,Zaid
Vikarabad,2021.0,1.0,57.5,Rabi
Vikarabad,2021.0,2.0,0.9,Rabi
Vikarabad,2021.0,3.0,52.1,Zaid
Wanaparthy,2021.0,1.0,15.8,Rabi
Wanaparthy,2021.0,2.0,5.9,Rabi
Wanaparthy,2021.0,3.0,2.6,Zaid
Warangal Rural,2021.0,1.0,0.0,Rabi
Warangal Rural,2021.0,2.0,99.60000000000001,Rabi
Warangal Rural,2021.0,3.0,0.0,Zaid
Warangal Urban,2021.0,1.0,0.8,Rabi
Warangal Urban,2021.0,2.0,68.3,Rabi
Warangal Urban,2021.0,3.0,0.0,Zaid
Yadadri Bhuvanagiri,2021.0,1.0,10.8,Rabi
Yadadri Bhuvanagiri,2021.0,2.0,44.9,Rabi
Yadadri Bhuvanagiri,2021.0,3.0,0.0,Zaid
Adilabad,2019.0,10.0,1532.8,Rabi
Adilabad,2019.0,11.0,81.1,Rabi
Adilabad,2019.0,12.0,12.8,Rabi
Bhadradri-Kothagudem,2019.0,10.0,3416.2,Rabi
Bhadradri-Kothagudem,2019.0,11.0,426.3,Rabi
Bhadradri-Kothagudem,2019.0,12.0,65.4,Rabi
Hyderabad,2019.0,10.0,2266.9,Rabi
Hyderabad,2019.0,11.0,25.4,Rabi
Hyderabad,2019.0,12.0,89.2,Rabi
Jagtial,2019.0,10.0,2572.9,Rabi
Jagtial,2019.0,11.0,45.9,Rabi
Jagtial,2019.0,12.0,10.9,Rabi
Jangaon,2019.0,10.0,2626.0,Rabi
Jangaon,2019.0,11.0,64.5,Rabi
Jangaon,2019.0,12.0,67.2,Rabi
Jayashankar-Bhupalpally,2019.0,10.0,2412.2,Rabi
Jayashankar-Bhupalpally,2019.0,11.0,120.2,Rabi
Jayashankar-Bhupalpally,2019.0,12.0,123.5,Rabi
Jogulamba-Gadwal,2019.0,10.0,1226.4,Rabi
Jogulamba-Gadwal,2019.0,11.0,0.8999999999999999,Rabi
Jogulamba-Gadwal,2019.0,12.0,25.0,Rabi
Kamareddy,2019.0,10.0,4380.1,Rabi
Kamareddy,2019.0,11.0,300.3,Rabi
Kamareddy,2019.0,12.0,0.9,Rabi
Karimnagar,2019.0,10.0,3980.5,Rabi
Karimnagar,2019.0,11.0,211.2,Rabi
Karimnagar,2019.0,12.0,32.5,Rabi
Khammam,2019.0,10.0,2640.2,Rabi
Khammam,2019.0,11.0,186.2,Rabi
Khammam,2019.0,12.0,96.1,Rabi
Komaram Bheem-Asifabad,2019.0,10.0,1344.5,Rabi
Komaram Bheem-Asifabad,2019.0,11.0,169.5,Rabi
Komaram Bheem-Asifabad,2019.0,12.0,29.5,Rabi
Mahabubabad,2019.0,10.0,2927.3,Rabi
Mahabubabad,2019.0,11.0,186.2,Rabi
Mahabubabad,2019.0,12.0,76.5,Rabi
Mahabubnagar,2019.0,10.0,2348.8,Rabi
Mahabubnagar,2019.0,11.0,74.0,Rabi
Mahabubnagar,2019.0,12.0,103.8,Rabi
Mancherial,2019.0,10.0,2579.5,Rabi
Mancherial,2019.0,11.0,279.4,Rabi
Mancherial,2019.0,12.0,24.7,Rabi
Medak,2019.0,10.0,2549.8,Rabi
Medak,2019.0,11.0,65.9,Rabi
Medak,2019.0,12.0,16.6,Rabi
Medchal-Malkajgiri,2019.0,10.0,2441.3,Rabi
Medchal-Malkajgiri,2019.0,11.0,4.2,Rabi
Medchal-Malkajgiri,2019.0,12.0,55.699999999999996,Rabi
Mulug,2019.0,10.0,2305.6,Rabi
Mulug,2019.0,11.0,115.2,Rabi
Mulug,2019.0,12.0,16.5,Rabi
Nagarkurnool,2019.0,10.0,2119.5,Rabi
Nagarkurnool,2019.0,11.0,102.3,Rabi
Nagarkurnool,2019.0,12.0,24.900000000000002,Rabi
Nalgonda,2019.0,10.0,3504.9,Rabi
Nalgonda,2019.0,11.0,0.6,Rabi
Nalgonda,2019.0,12.0,275.8,Rabi
Narayanpet,2019.0,10.0,1596.6,Rabi
Narayanpet,2019.0,11.0,18.9,Rabi
Narayanpet,2019.0,12.0,61.5,Rabi
Nirmal,2019.0,10.0,2653.1,Rabi
Nirmal,2019.0,11.0,68.8,Rabi
Nirmal,2019.0,12.0,13.4,Rabi
Nizamabad,2019.0,10.0,4544.4,Rabi
Nizamabad,2019.0,11.0,432.9,Rabi
Nizamabad,2019.0,12.0,14.7,Rabi
Peddapalli,2019.0,10.0,2429.2,Rabi
Peddapalli,2019.0,11.0,73.1,Rabi
Peddapalli,2019.0,12.0,47.6,Rabi
Rajanna-Siricilla,2019.0,10.0,2707.3,Rabi
Rajanna-Siricilla,2019.0,11.0,127.10000000000001,Rabi
Rajanna-Siricilla,2019.0,12.0,0.2,Rabi
Rangareddy,2019.0,10.0,3458.3,Rabi
Rangareddy,2019.0,11.0,46.4,Rabi
Rangareddy,2019.0,12.0,145.2,Rabi
Sangareddy,2019.0,10.0,2841.4,Rabi
Sangareddy,2019.0,11.0,279.90000000000003,Rabi
Sangareddy,2019.0,12.0,29.4,Rabi
Siddipet,2019.0,10.0,5367.1,Rabi
Siddipet,2019.0,11.0,55.1,Rabi
Siddipet,2019.0,12.0,34.4,Rabi
Suryapet,2019.0,10.0,3114.2,Rabi
Suryapet,2019.0,11.0,32.9,Rabi
Suryapet,2019.0,12.0,179.6,Rabi
Vikarabad,2019.0,10.0,2313.1,Rabi
Vikarabad,2019.0,11.0,164.2,Rabi
Vikarabad,2019.0,12.0,25.7,Rabi
Wanaparthy,2019.0,10.0,1832.3,Rabi
Wanaparthy,2019.0,11.0,75.8,Rabi
Wanaparthy,2019.0,12.0,14.9,Rabi
Warangal Rural,2019.0,10.0,3715.6,Rabi
Warangal Rural,2019.0,11.0,249.4,Rabi
Warangal Rural,2019.0,12.0,126.1,Rabi
Warangal Urban,2019.0,10.0,3076.5,Rabi
Warangal Urban,2019.0,11.0,286.4,Rabi
Warangal Urban,2019.0,12.0,8.7,Rabi
Yadadri-Bhongir,2019.0,10.0,2984.7,Rabi
Yadadri-Bhongir,2019.0,11.0,9.8,Rabi
Yadadri-Bhongir,2019.0,12.0,112.3,Rabi
Adilabad,2020.0,4.0,302.8,Zaid
Adilabad,2020.0,5.0,274.2,Zaid
Adilabad,2020.0,6.0,2595.4,Kharif
Bhadradri-Kothagudem,2020.0,4.0,643.6,Zaid
Bhadradri-Kothagudem,2020.0,5.0,391.7,Zaid
Bhadradri-Kothagudem,2020.0,6.0,4227.9,Kharif
Hyderabad,2020.0,4.0,208.1,Zaid
Hyderabad,2020.0,5.0,365.9,Zaid
Hyderabad,2020.0,6.0,2895.1,Kharif
Jagtial,2020.0,4.0,117.2,Zaid
Jagtial,2020.0,5.0,596.1,Zaid
Jagtial,2020.0,6.0,2582.0,Kharif
Jangaon,2020.0,4.0,176.1,Zaid
Jangaon,2020.0,5.0,216.9,Zaid
Jangaon,2020.0,6.0,2250.4,Kharif
Jayashankar-Bhupalpally,2020.0,4.0,114.4,Zaid
Jayashankar-Bhupalpally,2020.0,5.0,407.9,Zaid
Jayashankar-Bhupalpally,2020.0,6.0,2440.6,Kharif
Jogulamba-Gadwal,2020.0,4.0,102.1,Zaid
Jogulamba-Gadwal,2020.0,5.0,372.8,Zaid
Jogulamba-Gadwal,2020.0,6.0,1520.9,Kharif
Kamareddy,2020.0,4.0,417.6,Zaid
Kamareddy,2020.0,5.0,486.0,Zaid
Kamareddy,2020.0,6.0,3806.6,Kharif
Karimnagar,2020.0,4.0,188.9,Zaid
Karimnagar,2020.0,5.0,253.9,Zaid
Karimnagar,2020.0,6.0,3132.9,Kharif
Khammam,2020.0,4.0,81.89999999999999,Zaid
Khammam,2020.0,5.0,225.2,Zaid
Khammam,2020.0,6.0,3691.8,Kharif
Kumuram Bheem,2020.0,4.0,518.4,Zaid
